service_code,service_name,service_category,applies_to_type,interval_miles,interval_months,interval_hours,is_safety_critical,typical_duration_hours,typical_cost_cents,compliance_ref
REP-ENGINE-TURBO,Engine Turbocharger Replacement,Engine Repair,truck,,,false,6,350000,
REP-ENGINE-INJECTOR,Fuel Injector Replacement,Engine Repair,truck,,,false,4,85000,
REP-ENGINE-EGRCOOLER,EGR Cooler Replacement,Engine Repair,truck,,,false,5,280000,
REP-ENGINE-WATERPUMP,Water Pump Replacement,Engine Repair,truck,,,false,3,65000,
REP-ENGINE-HEADGASKET,Head Gasket Replacement,Engine Repair,truck,,,false,12,450000,
REP-BRAKE-SHOE-AXLE,Brake Shoe Replacement (per axle),Brake Repair,truck,,,true,3,38000,FMCSA 393.40
REP-BRAKE-DRUM,Brake Drum Replacement (each),Brake Repair,truck,,,true,2,32000,FMCSA 393.40
REP-BRAKE-DISC,Brake Disc Replacement,Brake Repair,truck,,,true,3,45000,
REP-BRAKE-CHAMBER,Brake Chamber Replacement,Brake Repair,truck,,,true,2,28000,FMCSA 393.40
REP-BRAKE-SLACK,Slack Adjuster Replacement,Brake Repair,truck,,,true,1.5,22000,
REP-TIRE-REPLACE,Tire Replacement,Tire Service,truck,,,false,1,55000,
REP-TIRE-REPAIR-PLUG,Tire Plug Repair,Tire Service,truck,,,false,0.5,3500,
REP-TIRE-MOUNT-BAL,Tire Mount & Balance,Tire Service,truck,,,false,0.75,8000,
REP-ELECT-ALTERNATOR,Alternator Replacement,Electrical Repair,truck,,,false,3,85000,
REP-ELECT-STARTER,Starter Motor Replacement,Electrical Repair,truck,,,false,2,65000,
REP-ELECT-BATTERY,Battery Replacement,Electrical Repair,truck,,,false,0.5,45000,
REP-ELECT-WIRING,Wiring Harness Repair,Electrical Repair,truck,,,false,4,65000,
REP-TRANS-OVERHAUL,Transmission Overhaul,Transmission Repair,truck,,,false,24,650000,
REP-TRANS-CLUTCH,Clutch Replacement,Transmission Repair,truck,,,false,8,280000,
REP-TRANS-SHIFTER,Gear Shifter Repair,Transmission Repair,truck,,,false,2,18000,
REP-SUSP-SPRING,Leaf Spring Replacement,Suspension Repair,truck,,,false,4,55000,
REP-SUSP-AIRBAG,Air Bag Replacement,Suspension Repair,truck,,,false,2,32000,
REP-SUSP-SHOCK,Shock Absorber Replacement,Suspension Repair,truck,,,false,1.5,42000,
REP-SUSP-KINGPIN,King Pin Replacement,Suspension Repair,truck,,,true,6,85000,
REP-SUSP-TIEROD,Tie Rod End Replacement,Suspension Repair,truck,,,true,2,22000,FMCSA 393.209
REP-CAB-WINDSHIELD,Windshield Replacement,Cab Repair,truck,,,false,2,55000,
REP-CAB-MIRROR,Mirror Replacement,Cab Repair,truck,,,false,0.5,32000,
REP-CAB-HVAC,HVAC System Repair,Cab Repair,truck,,,false,4,85000,
REP-CAB-SEAT,Driver Seat Replacement,Cab Repair,truck,,,false,2,95000,
REP-FUEL-TANK,Fuel Tank Replacement,Fuel System,truck,,,false,5,75000,
REP-FUEL-PUMP,Fuel Pump Replacement,Fuel System,truck,,,false,3,55000,
REP-EXHAUST-DPF,DPF Replacement,Exhaust System,truck,,,false,4,95000,
REP-EXHAUST-SCR,SCR Catalyst Replacement,Exhaust System,truck,,,false,3,120000,
REP-EXHAUST-EGR,EGR Valve Replacement,Exhaust System,truck,,,false,2,28000,
REP-ROAD-TIRE-CHANGE,Roadside Tire Change,Road Service,truck,,,false,1,22000,
REP-ROAD-JUMPSTART,Roadside Jump Start,Road Service,truck,,,false,0.5,8500,
REP-ROAD-FUEL-DEL,Roadside Fuel Delivery,Road Service,truck,,,false,0.5,15000,
REP-TRAILER-TIRES,Trailer Tire Replacement,Tire Service,trailer,,,false,1,48000,
REP-TRAILER-BRAKE,Trailer Brake Repair,Brake Repair,trailer,,,true,4,55000,
